행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
강남심포니오케스트라 제115회 정기연주회,예술의전당 콘서트홀,<드보르자크 교향곡 8번>,2026-02-22,2026-02-22,17:00,18:30,유료,강남문화재단,강남문화재단,02-6712-0532,서울특별시 강남구청,2505,R석 50000원+S석 30000원+A석 20000원,취학아동 이상,"강남구거주자 30할인(1매) / 신분증 확인- 초,중,고 대학생할인 50할인(1매) / 학생증 및 신분증 확인- 임산부 할인 50 할인 본인 및 동반1인 / 산모수첩 등 병원 서류, 임산부카드(국민은행 행복카드) 등 택일- 노약자(만65세이상) 50할인 본인 및 동반1인/ 신분증 확인 등- 장애인 복지카드 소지자(1급~3급/중증) 본인 및 동반 1인 50- 장애인 복지카드 소지자 (4급~6급/경증) 본인 및 동반 1인 50- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반 1인 50- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 및 동반 1인 50- 단체구매 10인이상 31 (등급좌석 교차가능)",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/85/view.do?mid=gfac_perform0101&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/26000542,Y,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,2026-05-08,3220000,서울특별시 강남구
강남심포니오케스트라 제114회 정기연주회,예술의전당 콘서트홀,<2026 신년음악회>,2026-01-28,2026-01-28,19:30,21:00,유료,강남문화재단,강남문화재단,02-6712-0533,서울특별시 강남구청,2505,R석 50000원+S석 30000원+A석 20000원,취학아동 이상,"강남구거주자 30할인(1매) / 신분증 확인- 초,중,고 대학생할인 50할인(1매) / 학생증 및 신분증 확인- 임산부 할인 50 할인 본인 및 동반1인 / 산모수첩 등 병원 서류, 임산부카드(국민은행 행복카드) 등 택일- 노약자(만65세이상) 50할인 본인 및 동반1인/ 신분증 확인 등- 장애인 복지카드 소지자(1급~3급/중증) 본인 및 동반 1인 50- 장애인 복지카드 소지자 (4급~6급/경증) 본인 및 동반 1인 50- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반 1인 50- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 및 동반 1인 50- 단체구매 10인이상 30 (등급좌석 교차가능)",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/84/view.do?mid=gfac_perform0101&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25018043,Y,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,2026-05-08,3220000,서울특별시 강남구
강남심포니오케스트라 제113회 정기연주회,예술의전당 콘서트홀,<Requiem Aeternam>,2025-12-30,2025-12-30,19:30,21:00,유료,강남문화재단,강남문화재단,02-6712-0533,서울특별시 강남구청,2505,R석 50000원+S석 30000원+A석 20000원,취학아동 이상,"강남구거주자 30할인(1매) / 신분증 확인- 초,중,고 대학생할인 50할인(1매) / 학생증 및 신분증 확인- 임산부 할인 50 할인 본인 및 동반1인 / 산모수첩 등 병원 서류, 임산부카드(국민은행 행복카드) 등 택일- 노약자(만65세이상) 50할인 본인 및 동반1인/ 신분증 확인 등- 장애인 복지카드 소지자(1급~3급/중증) 본인 및 동반 1인 50- 장애인 복지카드 소지자 (4급~6급/경증) 본인 및 동반 1인 50- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반 1인 50- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 및 동반 1인 50- 단체구매 10인이상 30 (등급좌석 교차가능)",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/83/view.do?mid=gfac_perform0101&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25003844,Y,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,2026-05-08,3220000,서울특별시 강남구
강남심포니오케스트라 제112회 정기연주회,예술의전당 콘서트홀,<엔드게임>,2025-11-29,2025-11-29,17:00,18:30,유료,강남문화재단,강남문화재단,02-6712-0533,서울특별시 강남구청,2505,R석 50000원+S석 30000원+A석 20000원,취학아동 이상,"강남구거주자 30할인(1매) / 신분증 확인- 초,중,고 대학생할인 50할인(1매) / 학생증 및 신분증 확인- 임산부 할인 50 할인 본인 및 동반1인 / 산모수첩 등 병원 서류, 임산부카드(국민은행 행복카드) 등 택일- 노약자(만65세이상) 50할인 본인 및 동반1인/ 신분증 확인 등- 장애인 복지카드 소지자(1급~3급/중증) 본인 및 동반 1인 50- 장애인 복지카드 소지자 (4급~6급/경증) 본인 및 동반 1인 50- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반 1인 50- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 및 동반 1인 50- 단체구매 10인이상 30 (등급좌석 교차가능)",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/82/view.do?mid=gfac_perform0101&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25003842,Y,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,2026-05-08,3220000,서울특별시 강남구
강남심포니오케스트라 제111회 정기연주회,예술의전당 콘서트홀,<쇼스타코비치>,2025-09-10,2025-09-10,19:30,21:00,유료,강남문화재단,강남문화재단,02-6712-0533,서울특별시 강남구청,2505,R석 50000원+S석 30000원+A석 20000원,취학아동 이상,"강남구거주자 30할인(1매) / 신분증 확인- 초,중,고 대학생할인 50할인(1매) / 학생증 및 신분증 확인- 임산부 할인 50 할인 본인 및 동반1인 / 산모수첩 등 병원 서류, 임산부카드(국민은행 행복카드) 등 택일- 노약자(만65세이상) 50할인 본인 및 동반1인/ 신분증 확인 등- 장애인 복지카드 소지자(1급~3급/중증) 본인 및 동반 1인 50- 장애인 복지카드 소지자 (4급~6급/경증) 본인 및 동반 1인 50- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반 1인 50- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 및 동반 1인 50- 단체구매 10인이상 30 (등급좌석 교차가능)",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/81/view.do?mid=gfac_perform0101&pgno=2&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25003840,Y,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,2026-05-08,3220000,서울특별시 강남구
강남심포니오케스트라 제110회 정기연주회,예술의전당 콘서트홀,<천상의 삶>,2025-05-13,2025-05-13,19:30,21:00,유료,강남문화재단,강남문화재단,02-6712-0533,서울특별시 강남구청,2505,R석 50000원+S석 30000원+A석 20000원,취학아동 이상,"강남구거주자 30할인(1매) / 신분증 확인- 초,중,고 대학생할인 50할인(1매) / 학생증 및 신분증 확인- 임산부 할인 50 할인 본인 및 동반1인 / 산모수첩 등 병원 서류, 임산부카드(국민은행 행복카드) 등 택일- 노약자(만65세이상) 50할인 본인 및 동반1인/ 신분증 확인 등- 장애인 복지카드 소지자(1급~3급/중증) 본인 및 동반 1인 50- 장애인 복지카드 소지자 (4급~6급/경증) 본인 및 동반 1인 50- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반 1인 50- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 및 동반 1인 50- 단체구매 10인이상 30 (등급좌석 교차가능)",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/80/view.do?mid=gfac_perform0101&pgno=2&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25003841,Y,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,2026-05-08,3220000,서울특별시 강남구
강남심포니오케스트라 제109회 정기연주회,예술의전당 콘서트홀,<흥 興>,2025-03-22,2025-03-22,17:00,18:30,유료,강남문화재단,강남문화재단,02-6712-0533,서울특별시 강남구청,2505,R석 50000원+S석 30000원+A석 20000원,취학아동 이상,"강남구거주자 30할인(1매) / 신분증 확인- 초,중,고 대학생할인 50할인(1매) / 학생증 및 신분증 확인- 임산부 할인 50 할인 본인 및 동반1인 / 산모수첩 등 병원 서류, 임산부카드(국민은행 행복카드) 등 택일- 노약자(만65세이상) 50할인 본인 및 동반1인/ 신분증 확인 등- 장애인 복지카드 소지자(1급~3급/중증) 본인 및 동반 1인 50- 장애인 복지카드 소지자 (4급~6급/경증) 본인 및 동반 1인 50- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반 1인 50- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 및 동반 1인 50- 단체구매 10인이상 30 (등급좌석 교차가능)",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/79/view.do?mid=gfac_perform0101&pgno=2&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25002349,Y,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,2026-05-08,3220000,서울특별시 강남구
강남심포니오케스트라 제108회 정기연주회,예술의전당 콘서트홀,<데이비드 이 예술감독 취임 연주회>,2025-02-18,2025-02-18,19:30,21:00,유료,강남문화재단,강남문화재단,02-6712-0533,서울특별시 강남구청,2505,R석 30000원+S석 20000원+A석 10000원,취학아동 이상,"강남구거주자 30할인(1매) / 신분증 확인- 초,중,고 대학생할인 50할인(1매) / 학생증 및 신분증 확인- 임산부 할인 50 할인 본인 및 동반1인 / 산모수첩 등 병원 서류, 임산부카드(국민은행 행복카드) 등 택일- 노약자(만65세이상) 50할인 본인 및 동반1인/ 신분증 확인 등- 장애인 복지카드 소지자(1급~3급/중증) 본인 및 동반 1인 50- 장애인 복지카드 소지자 (4급~6급/경증) 본인 및 동반 1인 50- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반 1인 50- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 및 동반 1인 50- 단체구매 10인이상 30 (등급좌석 교차가능)",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform05/78/view.do?mid=gfac_perform0101&pgno=2&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25001138,Y,서울특별시 서초구 남부순환로 2406,서울특별시 서초구 서초동 700,37.4802402,127.0142152,2026-05-08,3220000,서울특별시 강남구
제183회 강남마티네콘서트,광림아트센터 장천아트홀,피아니스트 김정원과 함께하는 아침의 음악정원 II <Sounds from the North 북쪽에서 들려오는 소리>,2026-05-07,2026-05-07,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 20000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/187/view.do?mid=gfac_perform0103&pgno=1&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/Perf/57202,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제182회 강남마티네콘서트,광림아트센터 장천아트홀,피아니스트 김정원과 함께하는 아침의 음악정원 II <Nature Speaks 자연이 말을 걸때>,2026-04-02,2026-04-02,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 20000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/185/view.do?mid=gfac_perform0103&pgno=1&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/Perf/57201,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제181회 강남마티네콘서트,광림아트센터 장천아트홀,피아니스트 김정원과 함께하는 아침의 음악정원 II <Invitation to the Dance 춤으로의 초대>,2026-03-05,2026-03-05,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 20000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/184/view.do?mid=gfac_perform0103&pgno=1&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/Perf/57180,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제180회 강남마티네콘서트,광림아트센터 장천아트홀,피아니스트 김정원과 함께하는 아침의 음악정원 II <White Nights 백야>,2026-02-05,2026-02-05,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 20000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/182/view.do?mid=gfac_perform0103&pgno=1&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/Perf/56773,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제179회 강남마티네콘서트,광림아트센터 장천아트홀,피아니스트 김정원과 함께하는 아침의 음악정원 <Winter Dreams>,2025-12-04,2025-12-04,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 15000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/181/view.do?mid=gfac_perform0103&pgno=2&keyfield=BDM_MAIN_TITLE,https://m.ticket.yes24.com/Perf/53663,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제178회 강남마티네콘서트,광림아트센터 장천아트홀,"피아니스트 김정원과 함께하는 아침의 음악정원 <멈춰진 순간, 영원한 순간>",2025-11-06,2025-11-06,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 15000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/180/view.do?mid=gfac_perform0103&pgno=2&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/Perf/53662,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제177회 강남마티네콘서트,광림아트센터 장천아트홀,피아니스트 김정원과 함께하는 아침의 음악정원 <가을의 세레나데>,2025-10-02,2025-10-02,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 15000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/179/view.do?mid=gfac_perform0103&pgno=2&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/Perf/53661,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제176회 강남마티네콘서트,광림아트센터 장천아트홀,"피아니스트 김정원과 함께하는 아침의 음악정원 <불멸의 빛, 끝내 찬란하게>",2025-09-04,2025-09-04,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 15000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/178/view.do?mid=gfac_perform0103&pgno=2&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/Perf/53660,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제175회 강남마티네콘서트,광림아트센터 장천아트홀,피아니스트 김정원과 함께하는 아침의 음악정원 <템포 디 파시오네>,2025-07-10,2025-07-10,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 15000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/177/view.do?mid=gfac_perform0103&pgno=2&keyfield=BDM_MAIN_TITLE,,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제174회 강남마티네콘서트,광림아트센터 장천아트홀,피아니스트 김정원과 함께하는 아침의 음악정원 <고전적 하루>,2025-06-05,2025-06-05,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 15000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/176/view.do?mid=gfac_perform0103&pgno=3&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/perf/53539,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
제173회 강남마티네콘서트,광림아트센터 장천아트홀,"피아니스트 김정원과 함께하는 아침의 음악정원 <벨 에포크, 아름다운 시대>",2025-03-06,2025-03-06,11:00,12:00,유료,강남문화재단,강남문화재단,02-6712-0534,서울특별시 강남구청,613,전석 15000원,8세 이상,"※ 강남구 거주자(본인만) 30/ 초,중,고,대학생(본인만) 50/ 장애인(1~3급/동반1인) 50/ 장애인(4~6급/본인만) 50/ 국가유공자(동반1인까지) 50/ 의상자(1~2급/동반1인) 50/ 유족증(국가유공자,의사자/본인만) 50/ 의상자(3급이하/본인만) 50/ 65세이상(동반1인까지) 50/ 임산부(동반1인까지) 50/ 문화예술인 패스카드 소지자(본인만) 30/ 10인이상단체 30 - 예스24티켓 고객센터(1544-6399)를 통해 예매 가능",,https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/175/view.do?mid=gfac_perform0103&pgno=3&keyfield=BDM_MAIN_TITLE,https://ticket.yes24.com/perf/52649,Y,서울특별시 강남구 논현로175길 49,서울특별시 강남구 신사동 571-2,37.52435576,127.025985,2026-05-08,3220000,서울특별시 강남구
5월 키즈예술공연,강남씨어터,아이들을 위한 전통 연희극 <숲속 동물들의 재주잔치>,2026-05-16,2026-05-16,11:00,15:00,유료,강남문화재단,강남문화재단,02-6712-0525,서울특별시 강남구청,232,전석 10000원,4세 이상,단체할인(10인 이상) 30/ 다둥이할인(2자녀 이상) 50 / 다둥이카드 혹은 등본 지참,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform02/259/view.do?mid=gfac_perform0105&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/26006216,Y,서울특별시 강남구 역삼로7길 16,서울특별시 강남구 역삼동 829-20,37.495390,127.0332838,2026-05-08,3220000,서울특별시 강남구
4월 키즈예술공연,강남씨어터,<차이콥스키 3대 명작 발레>,2026-04-18,2026-04-18,11:00,15:00,유료,강남문화재단,강남문화재단,02-6712-0525,서울특별시 강남구청,232,전석 10000원,만 5세 이상,단체할인(10인 이상) 30/ 다둥이할인(2자녀 이상) 50 / 다둥이카드 혹은 등본 지참,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform02/258/view.do?mid=gfac_perform0105&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/26004755,Y,서울특별시 강남구 역삼로7길 16,서울특별시 강남구 역삼동 829-20,37.495390,127.0332838,2026-05-08,3220000,서울특별시 강남구
11월 키즈예술공연,강남구민회관,발레 갈라 콘서트 <클래식 발레 갈라 여행>,2025-11-15,2025-11-15,11:00,15:00,유료,강남문화재단,강남문화재단,02-6712-0523,서울특별시 강남구청,512,전석 10000원,4세 이상,단체할인(10인 이상) 30/ 다둥이할인(2자녀 이상) 50 / 다둥이카드 혹은 등본 지참,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform02/257/view.do?mid=gfac_perform0105&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25015156,Y,서울특별시 강남구 삼성로 154,서울특별시 강남구 대치동 509-2,37.49384168,127.0642724,2026-05-08,3220000,서울특별시 강남구
10월 키즈예술공연,강남씨어터,그림동화 음악회 <엄마 찾아 삼만리>,2025-10-18,2025-10-18,11:00,15:00,유료,강남문화재단,강남문화재단,02-6712-0523,서울특별시 강남구청,232,전석 10000원,4세 이상,단체할인(10인 이상) 30/ 다둥이할인(2자녀 이상) 50 / 다둥이카드 혹은 등본 지참,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform02/256/view.do?mid=gfac_perform0105&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25014192,Y,서울특별시 강남구 역삼로7길 16,서울특별시 강남구 역삼동 829-20,37.495390,127.0332838,2026-05-08,3220000,서울특별시 강남구
9월 키즈예술공연,강남씨어터,관객 참여형 가족 음악극 <꼬마야 꼬마야>,2025-09-20,2025-09-20,11:00,15:00,유료,강남문화재단,강남문화재단,02-6712-0523,서울특별시 강남구청,232,전석 10000원,4세 이상,단체할인(10인 이상) 30/ 다둥이할인(2자녀 이상) 50 / 다둥이카드 혹은 등본 지참,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform02/255/view.do?mid=gfac_perform0105&pgno=1&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25012619,Y,서울특별시 강남구 역삼로7길 16,서울특별시 강남구 역삼동 829-20,37.495390,127.0332838,2026-05-08,3220000,서울특별시 강남구
8월 키즈예술공연,강남씨어터,퓨전 국악 창작극 <엄마를 찾아 떠나는 아리의 모험>,2025-08-16,2025-08-16,11:00,15:00,유료,강남문화재단,강남문화재단,02-6712-0523,서울특별시 강남구청,232,전석 10000원,4세 이상,단체할인(10인 이상) 30/ 다둥이할인(2자녀 이상) 50 / 다둥이카드 혹은 등본 지참,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform02/254/view.do?mid=gfac_perform0105&pgno=2&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25010562,Y,서울특별시 강남구 역삼로7길 16,서울특별시 강남구 역삼동 829-20,37.495390,127.0332838,2026-05-08,3220000,서울특별시 강남구
7월 키즈예술공연,강남구민회관,<퍼팩트 일루전 매직 콘서트>,2025-07-19,2025-07-19,11:00,15:00,유료,강남문화재단,강남문화재단,02-6712-0523,서울특별시 강남구청,512,전석 10000원,4세 이상,단체할인(10인 이상) 30/ 다둥이할인(2자녀 이상) 50 / 다둥이카드 혹은 등본 지참,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform02/253/view.do?mid=gfac_perform0105&pgno=2&keyfield=BDM_MAIN_TITLE,https://tickets.interpark.com/goods/25008628,Y,서울특별시 강남구 삼성로 154,서울특별시 강남구 대치동 509-2,37.49384168,127.0642724,2026-05-08,3220000,서울특별시 강남구
